Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-02,2009,Norwalk,571060,1000000,Single Family,Detached House,3,2,,1.025953,South
2009-01-02,2009,Waterbury,55720,140000,Single Family,Detached House,3,2,910,1.025953,South
2009-01-03,2009,Waterbury,68600,172000,?,Triplex,6,6,2185,1.025953,West
2009-01-03,2009,Greenwich,1046920,600000,Single Family,Detached House,3,3,1068,1.025953,South
2009-01-03,2009,Bridgeport,,348000,Four Family,Fourplex,8,6,2975,1.025953,East
2009-01-04,2009,Norwalk,208880,370000,Single Family,Detached House,3,2,1063,1.025953,South
2009-01-04,2009,Bridgeport,,410000,Two Family,Duplex,4,3,1498,1.025953,West
2009-01-04,2009,Bridgeport,174930,339000,?,Duplex,4,4,1250,1.025953,West
2009-01-05,2009,Bridgeport,185430,334600,Two Family,Duplex,4,2,1212,1.025953,West
2009-01-08,2009,,38640,115000,Three Family,Triplex,6,5,2104,1.025953,West
2009-01-09,2009,Waterbury,65380,225000,?,Triplex,6,5,1872,1.025953,East
2009-01-09,2009,Waterbury,64680,186375,Three Family,Triplex,6,4,,1.025953,West
2009-01-10,2009,Waterbury,80850,217000,Single Family,Detached House,3,2,1098,1.025953,West
2009-01-10,2009,Bridgeport,144410,350200,Two Family,Duplex,4,4,1338,1.025953,South
2009-01-12,2009,Fairfield,355040,575000,?,Detached House,3,2,1025,1.025953,West
2009-01-16,2009,,53778,145000,Single Family,Detached House,3,3,962,1.025953,East
2009-01-16,2009,Norwalk,212240,437000,Single Family,Detached House,3,3,967,1.025953,West
2009-01-17,2009,Bridgeport,109340,300000,Four Family,Fourplex,8,7,2783,1.025953,North
2009-01-17,2009,Waterbury,,265000,Three Family,Triplex,6,5,1892,1.025953,South
2009-01-17,2009,Bridgeport,,75000,Single Family,Detached House,3,3,977,1.025953,West
2009-01-17,2009,Fairfield,850850,1115000,?,Detached House,3,3,1009,1.025953,South
2009-01-18,2009,Waterbury,85610,195000,Single Family,Detached House,3,2,1016,1.025953,South
2009-01-18,2009,Greenwich,2567390,3550000,Single Family,Detached House,3,2,,1.025953,North
2009-01-18,2009,,514220,600000,Single Family,Detached House,3,1,923,1.025953,North
2009-01-19,2009,,257600,450000,Single Family,Detached House,3,1,,1.025953,East
2009-01-19,2009,Norwalk,324310,528000,?,Detached House,3,1,1061,1.025953,West
2009-01-19,2009,Fairfield,,185250,Single Family,Detached House,3,3,1023,1.025953,East
2009-01-19,2009,Fairfield,252070,295000,Single Family,Detached House,3,1,1011,1.025953,South
2009-01-22,2009,Bridgeport,95289,195000,Single Family,Detached House,3,3,962,1.025953,North
2009-01-22,2009,Waterbury,61040,148000,?,Detached House,3,3,1053,1.025953,South
2009-01-22,2009,Waterbury,103400,309000,Single Family,Detached House,3,3,938,1.025953,North
2009-01-22,2009,Waterbury,99540,279000,Single Family,Detached House,3,1,962,1.025953,South
2009-01-22,2009,Waterbury,,240000,Single Family,Detached House,3,2,1041,1.025953,West
2009-01-23,2009,,,75000,?,Detached House,3,3,984,1.025953,East
2009-01-23,2009,Waterbury,70000,152000,Single Family,Detached House,3,3,982,1.025953,East
2009-01-23,2009,Bridgeport,105560,224500,Single Family,Detached House,3,1,1062,1.025953,East
2009-01-23,2009,Fairfield,545860,720000,Single Family,Detached House,3,2,1056,1.025953,East
2009-01-23,2009,Fairfield,341040,502500,Single Family,Detached House,3,1,,1.025953,North
2009-01-24,2009,Waterbury,82950,185000,Single Family,Detached House,3,1,1077,1.025953,East
2009-01-24,2009,Greenwich,840840,1050000,Single Family,Detached House,3,1,939,1.025953,South
2009-01-25,2009,Bridgeport,136151,269900,?,Detached House,3,2,,1.025953,West
2009-01-25,2009,,182280,353250,Single Family,Detached House,3,2,1007,1.025953,East
2009-01-25,2009,Greenwich,1211210,1730000,Single Family,Detached House,3,3,940,1.025953,East
2009-01-26,2009,Norwalk,306250,600000,?,Detached House,3,1,1087,1.025953,West
2009-01-26,2009,,1627570,2975000,Single Family,Detached House,3,3,980,1.025953,North
2009-01-26,2009,Bridgeport,97720,57900,Two Family,Duplex,4,2,1470,1.025953,East
2009-01-29,2009,Bridgeport,49071,121900,Single Family,Detached House,3,3,941,1.025953,East
2009-01-29,2009,,2501660,4475000,Single Family,Detached House,3,1,,1.025953,West
2009-01-29,2009,Bridgeport,49748,113000,Single Family,Detached House,3,1,1071,1.025953,South
2009-01-29,2009,,90720,200000,Single Family,Detached House,3,2,1073,1.025953,West
2009-01-30,2009,Greenwich,567490,1127000,Single Family,Detached House,3,2,931,1.025953,North
2009-01-30,2009,Fairfield,466620,800000,Single Family,Detached House,3,1,929,1.025953,West
2009-01-31,2009,Bridgeport,91000,210000,Single Family,Detached House,3,1,1043,1.025953,North
2009-01-31,2009,Greenwich,6246170,8500000,Single Family,Detached House,3,1,1080,1.025953,South
2009-01-31,2009,Fairfield,736330,207000,Single Family,Detached House,3,1,1033,1.025953,West
2009-01-31,2009,Greenwich,2540720,3845000,Single Family,Detached House,3,3,,1.025953,East
2009-02-01,2009,Greenwich,4122790,6150000,Single Family,Detached House,3,2,1030,1.025953,East
2009-02-01,2009,Waterbury,67200,159500,Single Family,Detached House,3,3,918,1.025953,East
2009-02-01,2009,Bridgeport,149870,275000,Single Family,Detached House,3,1,984,1.025953,North
2009-02-01,2009,Norwalk,695076,2000000,Single Family,Detached House,3,3,1099,1.025953,North
2009-02-01,2009,Waterbury,81210,219000,Single Family,Detached House,3,3,1012,1.025953,South
2009-02-02,2009,Bridgeport,157990,256500,Single Family,Detached House,3,2,,1.025953,East
2009-02-05,2009,Greenwich,,770000,?,Detached House,3,2,1071,1.025953,South
2009-02-06,2009,Waterbury,57680,69000,?,Detached House,3,3,1056,1.025953,North
2009-02-06,2009,Bridgeport,,220000,Single Family,Detached House,3,1,977,1.025953,East
2009-02-07,2009,Norwalk,,391000,Single Family,Detached House,3,3,948,1.025953,North
2009-02-07,2009,Greenwich,11425890,8350000,Single Family,Detached House,3,2,1054,1.025953,West
2009-02-08,2009,Bridgeport,151130,440000,Three Family,Triplex,6,4,2053,1.025953,East
2009-02-08,2009,Fairfield,457380,750000,?,Detached House,3,3,995,1.025953,South
2009-02-09,2009,,96950,310000,Three Family,Triplex,6,6,2182,1.025953,West
2009-02-09,2009,Bridgeport,125300,188000,Single Family,Detached House,3,2,1030,1.025953,West
2009-02-12,2009,Bridgeport,100520,150000,Single Family,Detached House,3,1,942,1.025953,East
2009-02-12,2009,Norwalk,187740,360000,Single Family,Detached House,3,3,1076,1.025953,North
2009-02-13,2009,Bridgeport,96321,283000,Two Family,Duplex,4,2,1362,1.025953,East
2009-02-13,2009,Waterbury,,136000,Single Family,Detached House,3,3,1057,1.025953,West
2009-02-13,2009,Waterbury,52570,82400,Single Family,Detached House,3,3,1099,1.025953,East
